position,location_x_mean,location_y_mean,location_y_count
Right Defensive Midfield,63.050063186546126,41.16085350442306,10287
Left Defensive Midfield,62.80574634146342,35.99961951219512,10250
Left Center Back,51.126706198254645,21.741071828149476,8938
Right Center Back,56.60618154349742,62.531272818834196,7943
Center Back,49.52990243232101,45.48374330081077,7277
Left Wing Back,70.54534376410412,14.775507747856176,6647
Left Attacking Midfield,77.45028388928317,30.12372249822569,5636
Right Wing Back,77.17757815307223,66.38851958318361,5566
Right Attacking Midfield,77.90209467951404,52.84891076665271,4774
Center Forward,82.53097484276731,35.67079964061096,4452
Goalkeeper,10.446124842899037,40.10385421030582,2387
Right Wing,79.20093252879867,51.90373011519473,1823
Left Wing,79.92463928967814,26.539844617092122,1802
Center Attacking Midfield,72.78079800498753,39.462344139650874,802
Left Back,74.67992700729927,14.555656934306569,548
Left Center Forward,79.95913242009132,30.74497716894977,438
Right Back,67.0118811881188,67.58465346534653,404
Right Center Forward,78.5904761904762,39.25119047619047,336
Left Midfield,76.86126482213439,23.889723320158105,253
Right Midfield,84.00315789473684,60.205263157894734,190
Left Center Midfield,59.513698630136986,34.06164383561644,73
Right Center Midfield,60.81818181818182,51.25,66
Center Defensive Midfield,50.45,46.211666666666666,60
