player,pass_recipient,match_id,pass_count,location_x,location_y,count,location_x_end,location_y_end,count_end
Amine Adli,Alejandro Grimaldo García,3895153,2,61.550000000000004,55.666666666666664,6,62.93888888888888,10.93148148148148,54
Exequiel Alejandro Palacios,Alejandro Grimaldo García,3895153,6,53.9212962962963,35.580555555555556,108,62.93888888888888,10.93148148148148,54
Florian Wirtz,Alejandro Grimaldo García,3895153,7,70.12765957446808,36.42127659574468,47,62.93888888888888,10.93148148148148,54
Granit Xhaka,Alejandro Grimaldo García,3895153,5,58.06952380952381,40.51142857142857,105,62.93888888888888,10.93148148148148,54
Jonas Hofmann,Alejandro Grimaldo García,3895153,3,60.479032258064514,51.19516129032258,62,62.93888888888888,10.93148148148148,54
Piero Martín Hincapié Reyna,Alejandro Grimaldo García,3895153,20,42.498684210526314,19.74473684210526,76,62.93888888888888,10.93148148148148,54
Robert Andrich,Alejandro Grimaldo García,3895153,4,41.73030303030303,44.15151515151515,66,62.93888888888888,10.93148148148148,54
Victor Okoh Boniface,Alejandro Grimaldo García,3895153,3,70.35714285714286,26.642857142857142,14,62.93888888888888,10.93148148148148,54
Granit Xhaka,Amine Adli,3895153,2,58.06952380952381,40.51142857142857,105,61.550000000000004,55.666666666666664,6
Adam Hložek,Jonas Hofmann,3895153,2,47.142857142857146,46.457142857142856,7,60.479032258064514,51.19516129032258,62
Alejandro Grimaldo García,Jonas Hofmann,3895153,9,62.93888888888888,10.93148148148148,54,60.479032258064514,51.19516129032258,62
Exequiel Alejandro Palacios,Jonas Hofmann,3895153,10,53.9212962962963,35.580555555555556,108,60.479032258064514,51.19516129032258,62
Florian Wirtz,Jonas Hofmann,3895153,6,70.12765957446808,36.42127659574468,47,60.479032258064514,51.19516129032258,62
Granit Xhaka,Jonas Hofmann,3895153,11,58.06952380952381,40.51142857142857,105,60.479032258064514,51.19516129032258,62
Jeremie Frimpong,Jonas Hofmann,3895153,11,74.91578947368421,69.77894736842104,38,60.479032258064514,51.19516129032258,62
Odilon Kossonou,Jonas Hofmann,3895153,9,48.660000000000004,63.550769230769234,65,60.479032258064514,51.19516129032258,62
Piero Martín Hincapié Reyna,Jonas Hofmann,3895153,2,42.498684210526314,19.74473684210526,76,60.479032258064514,51.19516129032258,62
Robert Andrich,Jonas Hofmann,3895153,4,41.73030303030303,44.15151515151515,66,60.479032258064514,51.19516129032258,62
Victor Okoh Boniface,Jonas Hofmann,3895153,3,70.35714285714286,26.642857142857142,14,60.479032258064514,51.19516129032258,62
Odilon Kossonou,Nathan Tella,3895153,2,48.660000000000004,63.550769230769234,65,70.35000000000001,59.76666666666667,6
Adam Hložek,Odilon Kossonou,3895153,2,47.142857142857146,46.457142857142856,7,48.660000000000004,63.550769230769234,65
Exequiel Alejandro Palacios,Odilon Kossonou,3895153,5,53.9212962962963,35.580555555555556,108,48.660000000000004,63.550769230769234,65
Florian Wirtz,Odilon Kossonou,3895153,2,70.12765957446808,36.42127659574468,47,48.660000000000004,63.550769230769234,65
Granit Xhaka,Odilon Kossonou,3895153,11,58.06952380952381,40.51142857142857,105,48.660000000000004,63.550769230769234,65
Jeremie Frimpong,Odilon Kossonou,3895153,5,74.91578947368421,69.77894736842104,38,48.660000000000004,63.550769230769234,65
Jonas Hofmann,Odilon Kossonou,3895153,13,60.479032258064514,51.19516129032258,62,48.660000000000004,63.550769230769234,65
Lukáš Hrádecký,Odilon Kossonou,3895153,4,13.922222222222222,39.483333333333334,18,48.660000000000004,63.550769230769234,65
Piero Martín Hincapié Reyna,Odilon Kossonou,3895153,6,42.498684210526314,19.74473684210526,76,48.660000000000004,63.550769230769234,65
Robert Andrich,Odilon Kossonou,3895153,10,41.73030303030303,44.15151515151515,66,48.660000000000004,63.550769230769234,65
Edmond Fayçal Tapsoba,Alejandro Grimaldo García,3895180,7,43.38333333333333,25.049999999999997,84,59.025,21.685,40
Exequiel Alejandro Palacios,Alejandro Grimaldo García,3895180,4,57.555,35.946999999999996,100,59.025,21.685,40
Florian Wirtz,Alejandro Grimaldo García,3895180,4,66.39795918367346,30.83877551020408,49,59.025,21.685,40
Granit Xhaka,Alejandro Grimaldo García,3895180,6,56.026363636363634,43.17272727272727,110,59.025,21.685,40
Jonathan Tah,Alejandro Grimaldo García,3895180,3,48.025,50.80789473684211,76,59.025,21.685,40
Odilon Kossonou,Alejandro Grimaldo García,3895180,2,51.83098591549296,67.37464788732395,71,59.025,21.685,40
Adam Hložek,Florian Wirtz,3895180,2,57.32857142857143,55.528571428571425,7,66.39795918367346,30.83877551020408,49
Alejandro Grimaldo García,Florian Wirtz,3895180,4,59.025,21.685,40,66.39795918367346,30.83877551020408,49
Edmond Fayçal Tapsoba,Florian Wirtz,3895180,7,43.38333333333333,25.049999999999997,84,66.39795918367346,30.83877551020408,49
Exequiel Alejandro Palacios,Florian Wirtz,3895180,16,57.555,35.946999999999996,100,66.39795918367346,30.83877551020408,49
Granit Xhaka,Florian Wirtz,3895180,13,56.026363636363634,43.17272727272727,110,66.39795918367346,30.83877551020408,49
Jeremie Frimpong,Florian Wirtz,3895180,5,71.03428571428572,71.13142857142857,35,66.39795918367346,30.83877551020408,49
Jonas Hofmann,Florian Wirtz,3895180,4,67.82363636363637,62.06909090909091,55,66.39795918367346,30.83877551020408,49
Jonathan Tah,Florian Wirtz,3895180,2,48.025,50.80789473684211,76,66.39795918367346,30.83877551020408,49
Odilon Kossonou,Florian Wirtz,3895180,2,51.83098591549296,67.37464788732395,71,66.39795918367346,30.83877551020408,49
Victor Okoh Boniface,Florian Wirtz,3895180,3,72.64999999999999,38.1,6,66.39795918367346,30.83877551020408,49
Granit Xhaka,Nathan Tella,3895180,2,56.026363636363634,43.17272727272727,110,66.7,68.16666666666667,6
Odilon Kossonou,Nathan Tella,3895180,2,51.83098591549296,67.37464788732395,71,66.7,68.16666666666667,6
Adam Hložek,Odilon Kossonou,3895180,2,57.32857142857143,55.528571428571425,7,51.83098591549296,67.37464788732395,71
Alejandro Grimaldo García,Odilon Kossonou,3895180,3,59.025,21.685,40,51.83098591549296,67.37464788732395,71
