id,match_id,minute,player,player_id,shot_body_part,shot_outcome,shot_statsbomb_xg,location_x,location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z,pass_goal_assist,pass_end_location_x,pass_end_location_y,goal_outcome,distance
e15d353e-6e17-4339-8acb-a233e2b6ebd3,3895302,59,Victor Okoh Boniface,32289,,,,101.7,28.5,nan,,,True,93.0,39.1,Assist,
4c9d47f0-9ffb-4cb0-a6ef-e6c9b0581f11,3895302,67,Robert Andrich,9195,,,,81.3,29.6,nan,,,True,88.4,38.3,Assist,
b9dc3ef6-4336-4f16-aeed-71898b37c4c4,3895302,82,Exequiel Alejandro Palacios,28268,,,,31.0,42.8,nan,,,True,83.3,25.5,Assist,
4e61f75d-564b-4478-a2f0-4b7e20e8600e,3895302,89,Alejandro Grimaldo García,10336,,,,66.1,27.3,nan,,,True,89.4,55.4,Assist,
cf7357c9-3bd6-425f-ac34-ef7f11897394,3895302,24,Victor Okoh Boniface,32289,Right Foot,Goal,0.7835,108.0,40.0,120.0,42.9,1.0,,,,Goal,12.38587905640936
96146263-06f4-4694-8e44-44658af8b8f5,3895302,59,Granit Xhaka,3500,Left Foot,Goal,0.031472735,93.0,39.1,120.0,36.9,1.2,,,,Goal,27.11604690953311
5085715b-09f6-403c-8b67-a546bcfed0ec,3895302,67,Florian Wirtz,40724,Right Foot,Goal,0.042012483,93.5,40.1,120.0,40.2,2.3,,,,Goal,26.599812029411034
4a223f2d-3c3f-4655-b561-9c43a03b0f42,3895302,82,Florian Wirtz,40724,Right Foot,Goal,0.43832713,103.6,35.0,120.0,37.9,0.6,,,,Goal,16.665233271694703
dcc0c591-7ebd-4e42-8206-04bfefa94f33,3895302,89,Florian Wirtz,40724,Right Foot,Goal,0.28999847,106.4,48.8,120.0,37.7,0.3,,,,Goal,17.557334649655672
f5dea30a-5df6-4639-94dd-8319d9c8b256,3895292,52,Florian Wirtz,40724,Right Foot,Goal,0.7835,108.0,40.0,120.0,37.5,1.6,,,,Goal,12.361634196173256
1a7d7da2-0375-4fa9-b332-4f9e9e3f18a5,3895333,43,Adam Hložek,28239,,,,116.6,22.1,nan,,,True,113.7,43.2,Assist,
b0217346-572e-4688-aa71-6e6b234b2ed6,3895333,76,Adam Hložek,28239,,,,105.5,19.6,nan,,,True,111.9,45.8,Assist,
0d2470c8-1544-4fcf-a8b8-a4aa1a6b6371,3895333,11,Granit Xhaka,3500,Left Foot,Goal,0.032375105,96.6,33.6,120.0,43.4,1.5,,,,Goal,25.413579047430535
693cddac-5b0c-469f-8c78-f2add46315b9,3895333,43,Patrik Schick,7044,Head,Goal,0.19578177,113.7,43.2,120.0,39.4,1.4,,,,Goal,7.489325737341113
