match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,home_xg,away_score,away_xg,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,opponent
3895052,2023-08-19,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,RB Leipzig,3,1.52,2,1.72,available,available,2023-10-27T17:32:50.230518,2023-11-21T13:34:09.912520,1,Regular Season,BayArena,Felix Brych,Xabier Alonso Olano,Marco Rose,1.1.0,2,2,RB Leipzig
3895060,2023-08-26,30:00.0,Germany - 1. Bundesliga,2023/2024,Borussia Mönchengladbach,Bayer Leverkusen,0,0.8,3,2.72,available,available,2023-12-06T10:45:55.999012,2023-12-06T10:47:16.970767,2,Regular Season,Stadion im BORUSSIA-PARK,Christian Dingert,Gerardo Seoane Castro,Xabier Alonso Olano,1.1.0,2,2,Borussia Mönchengladbach
3895067,2023-09-02,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Darmstadt 98,5,3.3,1,0.58,available,available,2023-10-29T00:50:22.317494,2023-10-29T03:14:50.549747,3,Regular Season,BayArena,Sven Jablonski,Xabier Alonso Olano,Torsten Lieberknecht,1.1.0,2,2,Darmstadt 98
3895074,2023-09-15,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayern Munich,Bayer Leverkusen,2,2.22,2,2.21,available,available,2024-01-26T03:48:06.638612,2024-01-26T03:49:07.013902,4,Regular Season,Allianz Arena,Daniel Schlager,Thomas Tuchel,Xabier Alonso Olano,1.1.0,2,2,Bayern Munich
3895086,2023-09-24,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,FC Heidenheim,4,3.71,1,0.33,available,available,2023-11-06T06:22:39.809526,2024-01-01T09:52:59.525330,5,Regular Season,BayArena,Christian Dingert,Xabier Alonso Olano,Frank Schmidt,1.1.0,2,2,FC Heidenheim
3895095,2023-09-30,30:00.0,Germany - 1. Bundesliga,2023/2024,FSV Mainz 05,Bayer Leverkusen,0,0.44,3,0.79,available,available,2024-02-09T11:49:59.930945,2024-02-09T11:51:33.890250,6,Regular Season,Mewa Arena,Benjamin Brand,Bo Svensson,Xabier Alonso Olano,1.1.0,2,2,FSV Mainz 05
3895107,2023-10-08,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,FC Köln,3,2.94,0,1.19,available,available,2023-12-16T16:55:06.121615,2024-01-06T10:35:32.456060,7,Regular Season,BayArena,Felix Zwayer,Xabier Alonso Olano,Steffen Baumgart,1.1.0,2,2,FC Köln
3895113,2023-10-21,30:00.0,Germany - 1. Bundesliga,2023/2024,Wolfsburg,Bayer Leverkusen,1,1.2,2,1.96,available,available,2023-12-27T04:25:23.928277,2024-03-27T09:17:41.033608,8,Regular Season,Volkswagen Arena,Marco Fritz,Niko Kovač,Xabier Alonso Olano,1.1.0,2,2,Wolfsburg
3895121,2023-10-29,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Freiburg,2,1.43,1,0.77,available,available,2023-11-20T00:14:35.480458,2023-11-22T05:11:07.603363,9,Regular Season,BayArena,Daniel Siebert,Xabier Alonso Olano,Christian Streich,1.1.0,2,2,Freiburg
3895134,2023-11-04,30:00.0,Germany - 1. Bundesliga,2023/2024,Hoffenheim,Bayer Leverkusen,2,1.27,3,1.48,available,available,2024-02-07T13:46:18.768485,2024-02-07T13:51:13.679007,10,Regular Season,PreZero Arena,Frank Willenborg,Pellegrino Matarazzo,Xabier Alonso Olano,1.1.0,2,2,Hoffenheim
3895139,2023-11-12,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Union Berlin,4,1.88,0,0.04,available,available,2024-01-30T20:40:45.394341,2024-01-30T20:45:30.579373,11,Regular Season,BayArena,Timo Gerach,Xabier Alonso Olano,Urs Fischer,1.1.0,2,2,Union Berlin
3895153,2023-11-25,30:00.0,Germany - 1. Bundesliga,2023/2024,Werder Bremen,Bayer Leverkusen,0,0.19,3,1.09,available,available,2024-02-23T06:50:14.653597,2024-03-26T09:18:16.484394,12,Regular Season,Wohninvest Weserstadion ,Martin Petersen,Ole Werner,Xabier Alonso Olano,1.1.0,2,2,Werder Bremen
3895158,2023-12-03,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Borussia Dortmund,1,2.14,1,0.81,available,available,2024-05-07T19:57:11.111685,2024-05-07T20:02:31.877343,13,Regular Season,BayArena,Daniel Siebert,Xabier Alonso Olano,Edin Terzić,1.1.0,2,2,Borussia Dortmund
3895167,2023-12-10,30:00.0,Germany - 1. Bundesliga,2023/2024,VfB Stuttgart,Bayer Leverkusen,1,2.4,1,1.53,available,available,2024-01-04T18:37:25.701451,2024-03-26T08:09:25.818281,14,Regular Season,MHPArena,Deniz Aytekin,Sebastian Hoeneß,Xabier Alonso Olano,1.1.0,2,2,VfB Stuttgart
3895180,2023-12-17,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Eintracht Frankfurt,3,2.75,0,0.18,available,available,2024-03-31T20:55:24.255918,2024-03-31T21:08:00.046656,15,Regular Season,BayArena,Christian Dingert,Xabier Alonso Olano,Dino Toppmöller,1.1.0,2,2,Eintracht Frankfurt
3895182,2023-12-20,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Bochum,4,3.4,0,0.29,available,available,2024-02-23T06:51:13.952962,2024-03-27T11:25:34.494440,16,Regular Season,BayArena,Daniel Schlager,Xabier Alonso Olano,Thomas Letsch,1.1.0,2,2,Bochum
3895194,2024-01-13,30:00.0,Germany - 1. Bundesliga,2023/2024,Augsburg,Bayer Leverkusen,0,0.32,1,1.58,available,available,2024-02-10T21:49:28.277047,2024-02-28T13:48:13.756779,17,Regular Season,WWK Arena,Sven Jablonski,Jess Christian Thorup,Xabier Alonso Olano,1.1.0,2,2,Augsburg
3895202,2024-01-20,30:00.0,Germany - 1. Bundesliga,2023/2024,RB Leipzig,Bayer Leverkusen,2,1.09,3,1.88,available,available,2024-02-23T07:15:11.034109,2024-03-24T11:04:42.281656,18,Regular Season,Red Bull Arena,Matthias Jöllenbeck,Marco Rose,Xabier Alonso Olano,1.1.0,2,2,RB Leipzig
3895210,2024-01-27,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Borussia Mönchengladbach,0,2.56,0,0.18,available,available,2024-04-28T11:11:33.692621,2024-04-28T11:15:03.792111,19,Regular Season,BayArena,Deniz Aytekin,Xabier Alonso Olano,Gerardo Seoane Castro,1.1.0,2,2,Borussia Mönchengladbach
3895220,2024-02-03,30:00.0,Germany - 1. Bundesliga,2023/2024,Darmstadt 98,Bayer Leverkusen,0,0.77,2,1.95,available,available,2024-05-08T01:00:41.665143,2024-05-08T01:01:15.978489,20,Regular Season,Merck-Stadion am Böllenfalltor,Tobias Reichel,Torsten Lieberknecht,Xabier Alonso Olano,1.1.0,2,2,Darmstadt 98
3895232,2024-02-10,30:00.0,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Bayern Munich,3,1.03,0,0.62,available,available,2024-05-07T19:31:47.936488,2024-05-07T19:36:17.578845,21,Regular Season,BayArena,Felix Zwayer,Xabier Alonso Olano,Thomas Tuchel,1.1.0,2,2,Bayern Munich
